Epoch 1, Training loss: 4.0114030838012695, Val accuracy: 0.1493
Epoch 2, Training loss: 3.6269729137420654, Val accuracy: 0.181
Epoch 3, Training loss: 3.4933934211730957, Val accuracy: 0.2039
Epoch 4, Training loss: 3.3279335498809814, Val accuracy: 0.2095
Epoch 5, Training loss: 3.163531541824341, Val accuracy: 0.2242
Epoch 6, Training loss: 3.247260332107544, Val accuracy: 0.2326
Epoch 7, Training loss: 2.8999428749084473, Val accuracy: 0.2358
Epoch 8, Training loss: 3.0512213706970215, Val accuracy: 0.2401
Epoch 9, Training loss: 2.8324503898620605, Val accuracy: 0.2425
Epoch 10, Training loss: 2.964677572250366, Val accuracy: 0.2483
Epoch 11, Training loss: 2.6013848781585693, Val accuracy: 0.2558
Epoch 12, Training loss: 2.7113585472106934, Val accuracy: 0.2517
Epoch 13, Training loss: 2.5233888626098633, Val accuracy: 0.2587
Epoch 14, Training loss: 2.541532039642334, Val accuracy: 0.2598
Epoch 15, Training loss: 2.4524693489074707, Val accuracy: 0.2604
Epoch 16, Training loss: 2.4286153316497803, Val accuracy: 0.2614
Epoch 17, Training loss: 2.1475768089294434, Val accuracy: 0.258
Epoch 18, Training loss: 2.0536048412323, Val accuracy: 0.2628
Epoch 19, Training loss: 1.8920198678970337, Val accuracy: 0.2597
Epoch 20, Training loss: 1.739877700805664, Val accuracy: 0.2543
Epoch 21, Training loss: 2.222519874572754, Val accuracy: 0.2576
Epoch 22, Training loss: 1.737012505531311, Val accuracy: 0.2589
Epoch 23, Training loss: 1.7096986770629883, Val accuracy: 0.2531
Epoch 24, Training loss: 1.9101245403289795, Val accuracy: 0.2544
Epoch 25, Training loss: 1.7228338718414307, Val accuracy: 0.2486
Epoch 26, Training loss: 1.6211564540863037, Val accuracy: 0.2483
Epoch 27, Training loss: 1.5462874174118042, Val accuracy: 0.2488
Epoch 28, Training loss: 1.2900030612945557, Val accuracy: 0.2537
Epoch 29, Training loss: 1.4522656202316284, Val accuracy: 0.2473
Epoch 30, Training loss: 1.567994475364685, Val accuracy: 0.2466
Epoch 31, Training loss: 1.3242933750152588, Val accuracy: 0.2463
Epoch 32, Training loss: 1.283320426940918, Val accuracy: 0.2471
Epoch 33, Training loss: 1.141042709350586, Val accuracy: 0.246
Epoch 34, Training loss: 1.0148203372955322, Val accuracy: 0.2416
Epoch 35, Training loss: 1.180604100227356, Val accuracy: 0.2384
Epoch 36, Training loss: 1.1564210653305054, Val accuracy: 0.2386
Epoch 37, Training loss: 1.205551028251648, Val accuracy: 0.2394
Epoch 38, Training loss: 0.9431670904159546, Val accuracy: 0.2348
Epoch 39, Training loss: 0.9269830584526062, Val accuracy: 0.2361
Epoch 40, Training loss: 0.8313429951667786, Val accuracy: 0.237
Epoch 41, Training loss: 0.8903640508651733, Val accuracy: 0.2346
Epoch 42, Training loss: 0.8504995107650757, Val accuracy: 0.2366
Epoch 43, Training loss: 0.8230515718460083, Val accuracy: 0.2348
Epoch 44, Training loss: 0.6273337006568909, Val accuracy: 0.2327
Epoch 45, Training loss: 0.8053300976753235, Val accuracy: 0.2304
Epoch 46, Training loss: 0.6786516904830933, Val accuracy: 0.2314
Epoch 47, Training loss: 0.8135708570480347, Val accuracy: 0.2316
Epoch 48, Training loss: 0.8180138468742371, Val accuracy: 0.2338
Epoch 49, Training loss: 0.6334356069564819, Val accuracy: 0.2315
Epoch 50, Training loss: 0.6477759480476379, Val accuracy: 0.2267
